Time,Date,SOC(%),Total voltage(V),Charge state,Discharging state,Balancing state,Charging Current(A),Discharging Current(A),Positive resistance value of LDM,Negative resistance value of LDM,System insulation resistance value,Charge times,Balancing current,BMU mumber,BMU No.,Battery Number,Temp sensor number,Cell voltage(mv)1,Cell voltage(mv)2,Cell voltage(mv)3,Cell voltage(mv)4,Cell voltage(mv)5,Cell voltage(mv)6,Cell voltage(mv)7,Cell voltage(mv)8,Cell voltage(mv)9,Cell voltage(mv)10,Cell voltage(mv)11,Cell voltage(mv)12,Cell voltage(mv)13,Cell voltage(mv)14,Cell voltage(mv)15,Cell voltage(mv)16,Temprature(¡æ)1,Temprature(¡æ)2,Temprature(¡æ)3,Temprature(¡æ)4,Temprature(¡æ)5,Temprature(¡æ)6,Unique code of BMU,
09:50:39,2015-04-11,100,110.0,On,Off,0,15.5,0,6553,6553,6553,8,0,2,1,16,4,3441,3449,3423,3447,3433,3439,3429,3433,3459,3429,3431,3443,3439,3409,3451,3433,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3436,3434,3412,3436,3432,3412,3436,3432,3436,3410,3426,3410,3422,3432,3438,3428,16.0,17.0,17.0,17.0,,,0,
09:51:10,2015-04-11,100,110.0,On,Off,0,14.5,0,6553,6553,6553,8,0,2,1,16,4,3465,3473,3441,3473,3453,3457,3447,3453,3487,3449,3449,3465,3457,3427,3471,3453,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3456,3456,3432,3458,3452,3428,3452,3452,3454,3426,3442,3426,3438,3454,3460,3444,16.0,17.0,17.0,17.0,,,0,
09:51:41,2015-04-11,100,111.0,On,Off,8192,14.0,0,6553,6553,6553,8,0,2,1,16,4,3489,3499,3459,3497,3473,3473,3465,3471,3513,3471,3465,3489,3473,3441,3493,3471,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3472,3476,3448,3478,3468,3444,3468,3470,3470,3438,3456,3442,3454,3474,3482,3460,16.0,17.0,17.0,17.0,,,0,
09:52:12,2015-04-11,100,112.0,On,Off,8192,14.3,0,6553,6553,6553,8,0,2,1,16,4,3521,3539,3483,3537,3497,3495,3489,3493,3549,3501,3489,3519,3495,3463,3521,3495,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3494,3506,3470,3510,3492,3464,3490,3492,3488,3452,3472,3460,3470,3498,3510,3476,16.0,17.0,17.0,17.0,,,0,
09:52:42,2015-04-11,100,113.0,On,Off,8192,13.8,0,6553,6553,6553,8,0,2,1,16,4,3577,3619,3517,3601,3529,3523,3525,3523,3609,3549,3521,3575,3525,3491,3571,3529,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3524,3554,3504,3558,3518,3488,3514,3526,3514,3474,3496,3484,3494,3528,3554,3498,16.0,17.0,17.0,17.0,,,0,
09:53:13,2015-04-11,100,115.0,On,Off,32,13.8,0,6553,6553,6553,8,0,2,1,16,4,3681,3785,3577,3729,3585,3569,3585,3573,3729,3649,3577,3695,3575,3543,3673,3585,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3570,3640,3564,3654,3570,3532,3562,3584,3556,3506,3532,3522,3526,3572,3636,3528,16.0,17.0,17.0,17.0,,,0,
09:53:44,2015-04-11,100,119.0,On,Off,0,12.8,0,6553,6553,6553,8,0,2,1,16,4,3839,3987,3691,3895,3695,3671,3705,3663,3895,3817,3681,3883,3669,3643,3849,3689,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3660,3786,3682,3808,3664,3620,3658,3684,3624,3560,3596,3596,3580,3646,3784,3574,16.0,17.0,17.0,17.0,,,0,
09:54:15,2015-04-11,100,117.0,On,Off,0,3.8,0,6553,6553,6553,8,0,2,1,16,4,3781,3921,3615,3839,3623,3601,3631,3599,3831,3747,3613,3825,3601,3577,3783,3623,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3588,3726,3606,3752,3602,3568,3596,3622,3564,3518,3542,3540,3530,3554,3716,3524,16.0,17.0,17.0,17.0,,,0,
09:54:46,2015-04-11,100,115.0,On,Off,8192,3.3,0,6553,6553,6553,8,0,2,1,16,4,3713,3845,3567,3773,3575,3565,3579,3563,3761,3671,3569,3749,3567,3543,3713,3577,16.0,16.0,16.0,16.0,,,0,
,,,,,,,,,,,,,,,2,16,4,3556,3660,3556,3684,3564,3538,3560,3576,3542,3504,3522,3518,3514,3526,3650,3508,16.0,17.0,17.0,17.0,,,0,
